file,realtime,fixture
frames/frame-00232.png,47.60729,180
frames/frame-00233.png,47.72805,180
frames/frame-00234.png,47.84158,180
frames/frame-00235.png,47.95757,180
frames/frame-00236.png,48.07130,180
frames/frame-00237.png,48.18666,180
frames/frame-00238.png,48.30922,180
frames/frame-00239.png,48.42208,180
frames/frame-00240.png,48.53417,180
frames/frame-00241.png,48.64597,180
frames/frame-00242.png,48.76434,180
frames/frame-00243.png,48.88063,180
frames/frame-00244.png,48.99133,180
frames/frame-00245.png,49.10339,180
frames/frame-00246.png,49.21498,180
frames/frame-00247.png,49.32774,180
frames/frame-00248.png,49.44260,180
frames/frame-00249.png,49.55359,180
frames/frame-00250.png,49.66541,180
frames/frame-00251.png,49.77864,180
frames/frame-00252.png,49.89643,180
frames/frame-00253.png,53.01369,242
frames/frame-00254.png,53.10414,242
frames/frame-00255.png,53.19361,242
frames/frame-00256.png,53.27842,242
frames/frame-00257.png,53.37487,242
frames/frame-00258.png,53.48594,242
frames/frame-00259.png,53.59303,242
frames/frame-00260.png,53.69926,242
frames/frame-00261.png,53.80739,242
frames/frame-00262.png,53.91329,242
frames/frame-00263.png,54.02022,242
frames/frame-00264.png,54.12317,242
frames/frame-00265.png,54.22906,242
frames/frame-00266.png,54.33692,242
frames/frame-00267.png,54.44358,242
frames/frame-00268.png,54.55035,242
frames/frame-00269.png,54.65687,242
frames/frame-00270.png,54.76280,242
frames/frame-00271.png,54.87577,242
frames/frame-00272.png,54.98672,242
frames/frame-00273.png,55.09200,242
frames/frame-00274.png,55.19738,242
frames/frame-00275.png,55.30142,242
frames/frame-00276.png,55.40755,242
frames/frame-00277.png,55.51724,242
frames/frame-00278.png,55.62386,242
frames/frame-00279.png,55.72873,242
frames/frame-00280.png,55.83195,242
frames/frame-00281.png,55.94165,242
frames/frame-00282.png,56.04603,242
frames/frame-00283.png,56.15100,242
frames/frame-00284.png,56.25485,242
frames/frame-00285.png,56.35778,242
frames/frame-00286.png,56.46103,242
frames/frame-00287.png,56.57288,242
frames/frame-00288.png,56.67901,242
frames/frame-00289.png,56.78719,242
frames/frame-00290.png,56.88975,242
frames/frame-00291.png,56.99657,242
frames/frame-00292.png,57.09977,242
frames/frame-00293.png,57.20299,242
frames/frame-00294.png,57.30537,242
frames/frame-00295.png,57.40911,242
frames/frame-00296.png,57.51340,242
frames/frame-00297.png,57.61876,242
frames/frame-00298.png,57.72679,242
frames/frame-00299.png,57.83294,242
frames/frame-00300.png,57.93686,242
frames/frame-00301.png,58.04298,242
frames/frame-00302.png,58.14695,242
frames/frame-00303.png,58.24915,242
frames/frame-00304.png,58.35103,242
frames/frame-00305.png,58.45246,242
frames/frame-00306.png,58.55546,242
frames/frame-00307.png,58.65903,242
frames/frame-00308.png,58.75850,242
frames/frame-00309.png,58.86497,242
frames/frame-00310.png,58.96767,242
frames/frame-00311.png,62.07597,265
frames/frame-00312.png,62.16838,265
frames/frame-00313.png,62.25659,265
frames/frame-00314.png,62.34192,265
frames/frame-00315.png,62.43347,265
frames/frame-00316.png,62.52999,265
frames/frame-00317.png,62.63303,265
frames/frame-00318.png,62.73651,265
frames/frame-00319.png,62.83744,265
frames/frame-00320.png,62.93802,265
frames/frame-00321.png,63.04628,265
frames/frame-00322.png,63.14581,265
frames/frame-00323.png,63.24484,265
frames/frame-00324.png,63.34954,265
frames/frame-00325.png,63.45639,265
frames/frame-00326.png,63.55511,265
frames/frame-00327.png,63.66183,265
frames/frame-00328.png,63.76118,265
frames/frame-00329.png,63.86662,265
frames/frame-00330.png,63.96703,265
frames/frame-00331.png,64.07104,265
frames/frame-00332.png,64.17214,265
frames/frame-00333.png,64.27102,265
frames/frame-00334.png,64.37006,265
frames/frame-00335.png,64.48214,265
frames/frame-00336.png,64.58359,265
frames/frame-00337.png,64.68277,265
frames/frame-00338.png,64.78223,265
frames/frame-00339.png,64.88081,265
frames/frame-00340.png,64.98110,265
frames/frame-00341.png,65.08084,265
frames/frame-00342.png,65.17867,265
frames/frame-00343.png,65.27805,265
frames/frame-00344.png,65.37772,265
frames/frame-00345.png,65.47708,265
frames/frame-00346.png,65.57943,265
frames/frame-00347.png,65.68398,265
frames/frame-00348.png,65.78234,265
frames/frame-00349.png,65.88332,265
frames/frame-00350.png,65.98297,265
frames/frame-00351.png,66.08125,265
frames/frame-00352.png,66.18076,265
frames/frame-00353.png,66.28989,265
frames/frame-00354.png,66.38799,265
frames/frame-00355.png,66.48701,265
frames/frame-00356.png,66.58751,265
frames/frame-00357.png,66.69600,265
frames/frame-00358.png,66.80197,265
frames/frame-00359.png,66.90165,265
frames/frame-00360.png,67.00024,265
frames/frame-00361.png,67.10236,265
frames/frame-00362.png,67.20009,265
frames/frame-00363.png,67.29743,265
frames/frame-00364.png,67.40168,265
frames/frame-00365.png,67.50200,265
frames/frame-00366.png,67.60050,265
frames/frame-00367.png,67.70049,265
frames/frame-00368.png,67.80118,265
frames/frame-00369.png,67.91067,265
frames/frame-00370.png,68.01309,265
frames/frame-00371.png,71.11215,292
frames/frame-00372.png,71.19712,292
frames/frame-00373.png,71.28676,292
frames/frame-00374.png,71.37656,292
frames/frame-00375.png,71.46680,292
frames/frame-00376.png,71.55876,292
frames/frame-00377.png,71.65295,292
frames/frame-00378.png,71.75002,292
frames/frame-00379.png,71.84782,292
frames/frame-00380.png,71.94715,292
frames/frame-00381.png,72.04675,292
frames/frame-00382.png,72.14593,292
frames/frame-00383.png,72.24445,292
frames/frame-00384.png,72.34531,292
frames/frame-00385.png,72.45542,292
frames/frame-00386.png,72.55418,292
frames/frame-00387.png,72.65129,292
frames/frame-00388.png,72.75063,292
frames/frame-00389.png,72.85159,292
frames/frame-00390.png,72.95042,292
frames/frame-00391.png,73.04903,292
frames/frame-00392.png,73.14732,292
frames/frame-00393.png,73.24717,292
frames/frame-00394.png,73.34635,292
frames/frame-00395.png,73.44768,292
frames/frame-00396.png,73.55781,292
frames/frame-00397.png,73.66010,292
frames/frame-00398.png,73.75636,292
frames/frame-00399.png,73.86252,292
frames/frame-00400.png,73.96319,292
frames/frame-00401.png,74.07145,292
frames/frame-00402.png,74.16894,292
frames/frame-00403.png,74.26595,292
frames/frame-00404.png,74.36732,292
frames/frame-00405.png,74.46988,292
frames/frame-00406.png,74.57093,292
frames/frame-00407.png,74.68279,292
frames/frame-00408.png,74.78538,292
frames/frame-00409.png,74.88959,292
frames/frame-00410.png,74.99088,292
frames/frame-00411.png,75.09267,292
frames/frame-00412.png,75.19335,292
frames/frame-00413.png,75.29580,292
frames/frame-00414.png,75.40132,292
frames/frame-00415.png,75.50278,292
frames/frame-00416.png,75.60297,292
frames/frame-00417.png,75.70987,292
frames/frame-00418.png,75.82047,292
frames/frame-00419.png,75.92359,292
frames/frame-00420.png,76.02460,292
frames/frame-00421.png,76.12759,292
frames/frame-00422.png,76.22778,292
frames/frame-00423.png,76.33299,292
frames/frame-00424.png,76.43397,292
frames/frame-00425.png,76.54900,292
frames/frame-00426.png,76.65533,292
frames/frame-00427.png,76.76068,292
frames/frame-00428.png,76.86804,292
frames/frame-00429.png,76.98310,292
frames/frame-00430.png,77.08879,292
frames/frame-00431.png,80.19207,342
frames/frame-00432.png,80.27750,342
frames/frame-00433.png,80.36736,342
frames/frame-00434.png,80.45490,342
frames/frame-00435.png,80.54781,342
frames/frame-00436.png,80.64763,342
frames/frame-00437.png,80.75560,342
frames/frame-00438.png,80.86127,342
frames/frame-00439.png,80.96829,342
frames/frame-00440.png,81.07408,342
frames/frame-00441.png,81.17857,342
frames/frame-00442.png,81.28296,342
frames/frame-00443.png,81.39704,342
frames/frame-00444.png,81.51040,342
frames/frame-00445.png,81.61873,342
frames/frame-00446.png,81.72327,342
frames/frame-00447.png,81.82754,342
frames/frame-00448.png,81.93465,342
frames/frame-00449.png,82.04034,342
frames/frame-00450.png,82.14355,342
frames/frame-00451.png,82.24722,342
frames/frame-00452.png,82.35044,342
frames/frame-00453.png,82.46088,342
frames/frame-00454.png,82.56256,342
frames/frame-00455.png,82.67407,342
frames/frame-00456.png,82.77835,342
frames/frame-00457.png,82.88232,342
frames/frame-00458.png,82.98318,342
frames/frame-00459.png,83.08111,342
frames/frame-00460.png,83.18209,342
frames/frame-00461.png,83.28185,342
frames/frame-00462.png,83.38214,342
frames/frame-00463.png,83.48329,342
frames/frame-00464.png,83.58516,342
frames/frame-00465.png,83.70225,342
frames/frame-00466.png,83.81353,342
frames/frame-00467.png,83.91793,342
frames/frame-00468.png,84.02067,342
frames/frame-00469.png,84.12119,342
frames/frame-00470.png,84.22172,342
frames/frame-00471.png,84.32249,342
frames/frame-00472.png,84.42252,342
frames/frame-00473.png,84.53448,342
frames/frame-00474.png,84.63263,342
frames/frame-00475.png,84.73272,342
frames/frame-00476.png,84.83251,342
frames/frame-00477.png,84.94621,342
frames/frame-00478.png,85.04665,342
frames/frame-00479.png,85.14615,342
frames/frame-00480.png,85.24996,342
frames/frame-00481.png,85.35026,342
frames/frame-00482.png,85.45119,342
frames/frame-00483.png,85.55082,342
frames/frame-00484.png,85.65282,342
frames/frame-00485.png,85.76016,342
frames/frame-00486.png,85.86497,342
frames/frame-00487.png,85.96651,342
frames/frame-00488.png,86.07571,342
frames/frame-00489.png,86.17880,342
